       w1         w2         w3   Data Height 
    50.474      4.796      3.637       700652 
    50.493      4.793      3.796       771238 
    50.486      2.647      3.646      1873742 
    50.481      2.638      3.795       674302 
    50.496      2.178      3.645       442427 
    50.493      8.302      3.643       261407 
    50.499      1.950      3.641      4915535 
    50.458      2.159      3.782      1052752 
    50.468      1.944      3.780      6415512 
    51.237      4.382      1.941       546787 
    51.237      3.628      1.951      4041326 
    51.270      3.779      1.944      8316888 
    51.262      1.945      1.944    456222272 
    52.931      8.290      4.489      1794997 
    52.938      4.488      4.487     54323988 
    52.887      1.642      4.490       750073 
    52.943      1.476      4.488      4705030 
    52.943      3.531      4.487      6051544 
    52.937      3.757      4.487      7179528 
    52.949      1.944      4.488       774104 
    52.942      0.847      4.488      4332816 
    41.490      8.288      1.475      3377504 
    41.491      4.488      1.484      2077379 
    41.474      1.641      1.485     12072311 
    41.485      1.487      1.486    128171536 
    41.487      3.532      1.488      2233328 
    41.479      3.761      1.484       695939 
    41.503      0.862      1.484      4970474 
    48.958      8.330      0.874       246572 
    49.131      4.491      0.882       257764 
    48.984      0.871      0.872   1221776768 
    48.963      1.511      0.870      9968807 
    47.376      4.486      0.850      1969060 
    47.400      1.605      0.846      3659080 
    47.395      3.532      0.851      1212111 
    47.536      1.515      0.832      6814452 
    47.501      8.307      0.841       601645 
    47.455      3.738      0.849       778971 
    51.050      8.288      1.628      1851249 
    51.044      4.486      1.629       573418 
    51.060      3.535      1.638       284065 
    51.042      3.789      1.622       188171 
    51.069      0.836      1.638      1339187 
    51.069      1.626      1.625     84370152 
    38.831      4.253      4.262     71003800 
    38.831      1.663      4.262      2666934 
    38.835      2.145      4.263      5409310 
    38.799      3.530      4.259       440430 
    38.820      3.790      4.260       547100 
    38.852      1.942      4.264      2181289 
    38.833      7.795      4.262     14343154 
    31.912      4.258      2.142      3803275 
    31.909      1.662      2.143     20628168 
    31.915      2.144      1.669     19476452 
    31.906      3.532      2.145       649223 
    31.921      3.770      1.670       636432 
    31.911      7.796      1.669      1136555 
    31.907      7.795      2.143      1193885 
    31.832      4.254      1.680      2946723 
    31.904      3.534      1.672      1331818 
    31.898      1.940      1.671      7792830 
    50.363      8.287      3.540       194704 
    50.502      8.296      3.779       341680 
    50.444      4.488      3.535      3523479 
    50.439      4.490      3.760      4341168 
    50.421      0.852      3.536      1213493 
    50.412      0.847      3.760       753731 
    50.451      1.470      3.535      2690514 
    50.438      1.476      3.760      1208377 
    50.454      1.661      3.761       717317 
    50.435      4.269      3.530       343810 
    50.479      1.682      3.523      1831723 
    50.451      1.947      3.533      5347560 
    50.411      7.795      3.541       176985 
    50.441      2.137      3.535       540710 
    51.045      8.275      1.952       411454 
    51.336      7.797      1.942       508334 
    51.278      2.142      1.942     16307068 
    51.327      4.257      1.945      1638032 
    51.355      3.533      1.946      4951720 
    51.304      1.702      1.960     15526832 
    31.559      7.797      3.846      2858960 
    31.548      0.794      3.845      2549982 
    31.544      0.999      3.846      3053704 
    31.555      2.457      3.846       300611 
    31.545      0.486      3.846      1431106 
    31.541      0.647      3.846      1816310 
    31.550      1.288      3.846      1479342 
    31.550      7.645      3.846     11420023 
    31.537      2.580      3.846       638888 
    31.526      6.829      3.844       257506 
    33.185      4.274      0.802       262193 
    33.187      4.273      0.998       214980 
