       w1         w2         w3   Data Height 
   121.658      1.303      7.656      1501297 
   121.643      4.296      7.655      4790992 
   121.659      2.594      7.655      7101574 
   121.659      6.861      7.655      1241992 
   121.654      8.015      7.655      1292964 
   123.833      7.645      8.028      1661494 
   123.819      2.595      8.028      3941260 
   123.828      6.866      8.027      1342710 
   123.814      2.781      8.027      2212340 
   123.823      2.452      8.027      4459638 
   123.821      7.462      8.027      5309234 
   123.814      6.981      8.028      1145843 
   123.820      6.697      8.027       460806 
   123.843      8.572      8.025       836652 
   123.815      4.300      8.028     16857766 
   127.868      6.167      9.510      6016724 
   127.869      9.508      9.510     66709340 
   127.870      6.704      9.510      3817911 
   127.860      4.450      9.510      2084333 
   127.864      0.738      9.509      1343815 
   127.870      8.136      9.510      5907286 
   127.858      1.295      9.511      1750274 
   127.858      1.165      9.511       638408 
   127.872      4.803      9.505      1049019 
   127.868      4.966      9.511      2184785 
   127.886      5.575      9.508       420585 
   127.870      2.459      9.510      2145297 
   119.634      6.851      8.581       366682 
   119.622      6.687      8.581       348178 
   119.640      4.302      8.581     10848521 
   119.656      2.454      8.580       995211 
   119.630      4.143      8.580      3757634 
   119.636      2.832      8.580      4609332 
   119.625      3.433      8.578      2386556 
   119.650      8.021      8.581      4982516 
   118.547      4.300      8.020      1673798 
   118.551      8.576      8.022      5193839 
   118.558      4.143      8.020      2908936 
   118.564      2.810      8.020      3689054 
   118.564      3.431      8.021      1379715 
   118.564      5.406      8.021      2850776 
   118.558      2.538      8.021      5066366 
   118.558      2.704      8.021      3525861 
   118.612      3.805      8.021       495136 
   118.543      0.462      8.021       743505 
   118.567      7.138      8.020      1396422 
   118.560      6.547      8.021      1898651 
   119.537      4.629      8.265     13156546 
   119.583      1.978      8.266      4303852 
   119.535      2.325      8.264      2930330 
   119.572      2.117      8.266       636725 
   119.539      3.084      8.264      3678090 
   119.534      1.637      8.265     11931035 
   119.534      0.702      8.264      2756261 
   119.532      0.255      8.264      9547999 
   119.540      1.022      8.266       947988 
   116.398      3.084      8.819     11566219 
   116.405      1.609      8.821      1125478 
   116.401      0.699      8.819      4589570 
   116.401      0.253      8.824      1562398 
   116.400      8.819      8.820     36324824 
   116.401      3.503      8.820      5843286 
   116.404      4.398      8.819      4190282 
   116.401      7.414      8.820      3939496 
   116.412      4.059      8.818       486155 
   116.407      1.552      8.821      1125159 
   116.402      8.367      8.818      1133376 
   116.404      1.992      8.819      3710540 
   116.395      1.023      8.819      2475471 
   122.055      3.820      7.413       667666 
   122.031      3.088      7.415      2305300 
   122.037      0.708      7.413       945309 
   122.028      8.818      7.415      5607858 
   122.021      3.502      7.414      1975986 
   122.037      4.397      7.415      2169348 
   122.031      7.415      7.415     68850232 
   122.024      4.044      7.415      4908380 
   122.029      1.413      7.415      7970586 
   122.031      1.576      7.415      7755464 
   122.036      0.974      7.414      2618381 
   122.040      0.467      7.415      1645011 
   122.034      0.222      7.419       859095 
   122.053      5.201      7.415       379027 
   122.022      1.170      7.414       629523 
   122.031      1.988      7.414      6538146 
   122.037      0.337      7.414      1676619 
   122.043      0.856      7.415      1094247 
   122.010      8.369      7.422      3057167 
   128.931      7.416      8.381      1048568 
   128.939      4.041      8.386     17983244 
   128.939      1.535      8.386      2623673 
   128.939      0.957      8.386      5395299 
   128.933      0.460      8.386      1089996 
   128.939      1.659      8.386      4440576 
   128.939      8.385      8.386     69247152 
   128.935      4.953      8.386      2750822 
   128.941      0.226      8.386       718395 
   128.944      5.205      8.383       458062 
   128.940      0.317      8.384       447617 
   128.937      8.034      8.392       551591 
   128.941      1.390      8.386     12874202 
   115.041      4.952      8.628     12629212 
   115.041      1.386      8.628      4637930 
   115.088      8.629      8.623     56490464 
   115.052      4.816      8.629      3160527 
   115.016      1.604      8.626      1441047 
   115.039      0.282      8.629      8602360 
   115.061      8.858      8.628      2709356 
   115.040      5.208      8.627      2749598 
   115.025      1.521      8.627      1325181 
   115.026      0.541      8.632       600919 
   119.206      4.811      8.902      9992541 
   119.206      1.607      8.902      7299578 
   119.208      0.234      8.901      2659034 
   119.209      8.899      8.902     49740784 
   119.221      4.902      8.901      2476339 
   119.208      1.758      8.902      5918126 
   119.206      1.933      8.902      2401405 
   119.192      8.344      8.902      1149404 
   119.205      5.075      8.900       626331 
   119.201      8.732      8.901      3141662 
   119.200      3.887      8.900      1400725 
   119.220      4.156      8.902      1457234 
   119.226      8.036      8.900      1294454 
   119.207      0.751      8.902      1825298 
   119.207      1.357      8.901      1476714 
   125.487      3.951      8.317      2596762 
   125.490      0.355      8.317      3429996 
   125.483      0.849      8.318      3588642 
   125.470      0.563      8.318      1674423 
   125.483      1.935      8.317      3895320 
   125.470      5.054      8.317      2711028 
   125.469      0.141      8.317       692244 
   125.489      8.869      8.317      1307955 
   125.489      1.740      8.317      8460719 
   128.049      3.952      8.595     10884449 
   128.023      1.734      8.596       902679 
   128.049      0.390      8.591       733049 
   128.024      0.856      8.598       636489 
   128.050      0.558      8.595      2913708 
   128.045      8.593      8.595     48477580 
   128.040      4.797      8.596      2774486 
   128.047      2.607      8.594      2277246 
   128.035      3.043      8.594      1679174 
   128.013      7.319      8.595       733676 
   128.079      6.835      8.595       517787 
   128.003      8.390      8.594      1140450 
   128.044      9.039      8.590       290872 
   128.039      1.489      8.591       569208 
   128.049      4.328      8.594       611023 
   128.084      2.320      8.597       418549 
   128.064      1.933      8.593       410139 
   128.058      4.950      8.597      1320948 
   128.039      0.141      8.595      1279541 
   112.497      8.624      6.834       308378 
   112.415      2.603      7.319      1721203 
   112.448      2.615      6.844      1765125 
   112.419      3.046      7.319       982647 
   112.439      3.036      6.843       915793 
   112.439      7.317      7.319     13955787 
   112.432      7.317      6.843     14936564 
   112.436      6.840      7.319     13857303 
   112.429      6.841      6.844     21420432 
   112.532      8.393      7.321       254742 
   112.434      4.340      7.317       494378 
   112.429      4.329      6.843       782631 
   112.423      3.893      7.322       323345 
   112.365      3.894      6.844       344739 
   112.421      4.791      7.318       674003 
   112.411      4.795      6.844       688934 
   115.737      0.562      8.392       434745 
   115.751      8.592      8.394       434456 
   115.720      4.782      8.391      4350890 
   115.717      2.612      8.392      1712883 
   115.721      3.043      8.392      3087780 
   115.712      8.391      8.392     31731000 
   115.728      4.556      8.391      2142746 
   115.721      2.793      8.391      3774839 
   115.723      9.031      8.391      1336454 
   115.696      0.866      8.393       523716 
   112.795      4.802      7.635       326565 
   112.757      8.387      7.635       357755 
   112.680      8.389      6.950       306979 
   112.743      4.562      7.636       545205 
   112.795      2.788      7.635      3087194 
   112.781      2.787      6.947      1762060 
   112.778      7.634      7.635     66860892 
   112.781      7.633      6.946     44847104 
   112.781      6.942      7.635     48432808 
   112.771      6.942      6.946     77637400 
   112.825      4.667      6.946       314923 
   112.834      3.104      7.637       403344 
   112.849      0.873      6.948       266029 
   112.808      0.879      7.634       213026 
   119.485      8.598      9.028       442409 
   119.410      8.389      9.033      2113044 
   119.395      4.559      9.032      2183090 
   119.410      9.030      9.034     28656800 
   119.413      4.651      9.034      1953337 
   119.428      2.850      9.034      2375557 
   119.414      2.931      9.034      2578068 
   119.398      7.498      9.034       661669 
   119.446      7.133      9.033       411645 
   119.405      8.174      9.034      3109650 
   119.433      1.481      9.033       428105 
   114.111      9.043      7.498       425101 
   114.116      9.027      7.140       260464 
   114.020      4.680      7.499       301875 
   114.042      4.685      7.143       243499 
   114.076      2.825      7.500      1328223 
   114.076      2.816      7.143      1003934 
   114.068      2.931      7.497      2101564 
   114.071      2.931      7.143      1382343 
   114.068      7.498      7.497     25490516 
   114.069      7.498      7.141     22079308 
   114.068      7.138      7.497     22752974 
   114.065      7.139      7.141     33893716 
   114.065      4.327      7.496       555771 
   114.035      4.327      7.144       341432 
   122.363      0.558      8.175       687406 
   122.386      2.605      8.174       457919 
   122.356      9.032      8.174      5053443 
   122.356      4.667      8.174      4595116 
   122.369      2.856      8.175      1591378 
   122.364      2.935      8.174      1544844 
   122.322      4.572      8.174      4368866 
   122.361      1.487      8.175      9679403 
   122.359      7.753      8.175      3886673 
   122.516      3.938      8.167       529433 
   122.383      0.924      8.173      1265870 
   122.317      4.327      8.172       496853 
   122.365      1.805      8.172       548653 
   122.354      1.938      8.175       558629 
   117.861      8.174      7.761      1380911 
   117.884      4.598      7.762      1184038 
   117.874      1.488      7.761       674057 
   117.874      7.761      7.762     13574408 
   117.850      3.925      7.760       968495 
   117.863      1.691      7.761      1228610 
   117.859      1.776      7.759      1188391 
   117.854      1.169      7.755       371136 
   117.910      1.379      7.762       849548 
   117.887      0.928      7.764       524656 
   108.456      1.779      7.213       816651 
   108.452      3.084      7.214      7164682 
   108.454      7.213      7.214     92666384 
   108.459      1.170      7.214      1111636 
   108.474      1.382      7.215      1549120 
   108.480      0.920      7.215       337972 
   108.531      1.658      7.218      1157269 
   118.650      3.930      7.824      1417192 
   118.547      1.689      7.828       593247 
   118.547      1.790      7.828       479555 
   118.630      1.385      7.851       622576 
   118.516      4.414      7.823      1212619 
   118.516      2.961      7.828      1825408 
   118.516      3.092      7.823      1423073 
   118.516      8.220      7.814       806332 
   108.549      4.597      8.206       290222 
