       w1         w2         w3         w4   Data Height 
    32.357     14.373      4.537      4.540       198782 
    15.218     21.665      0.161      4.304       252411 
    15.257     21.630      0.657      4.310        92245 
    15.204     21.541      0.635      4.296        92709 
    15.346     27.503      1.661      4.276       167754 
    15.486     31.759      1.778      4.304        98099 
    13.947     19.375      2.595      4.272        72824 
    15.270     15.499      2.161      4.297      -285718 
    15.141     14.181      1.931      4.298      -230355 
    15.203     14.151      1.770      4.299      -150987 
    15.436     17.253      3.016      4.275      -109474 
    13.947     16.773      2.960      4.281       -66694 
    15.376     17.429      1.648      4.286      -122748 
    13.947     17.618      1.650      4.294        60103 
    14.543     14.529      4.504      4.286      1745051 
    30.829     21.623      0.158      1.576       450651 
    30.683     24.135      3.049      1.545        88772 
    21.359     21.684      4.163      0.143        64380 
    24.252     21.548      0.158      3.045       406548 
    22.816     19.091      0.951      3.042       -68454 
    24.202     17.241      1.931      3.042      -162361 
    22.456     24.201      4.378      4.359       193417 
    29.376     20.979      2.818      1.508      -321843 
    20.977     20.891      0.827      2.841      -124769 
    19.727     18.258      0.816      2.847        74005 
    32.839     32.866      4.949      4.956      2604322 
    32.828     33.460      1.713      4.959      -336926 
    32.898     15.790      1.849      4.960       155347 
    21.814     13.985     -0.475      0.423       -62126 
    13.947     25.957      0.104      6.592       -94183 
    26.344     30.224      5.261      0.096      -109197 
    21.618     19.422      1.933      0.659       -68625 
    27.427     30.599      4.070      0.428      -105043 
    23.698     15.758      1.853      0.729      -122396 
    25.542     15.951      1.838      0.734       -79846 
    23.682     33.463      1.715      0.728       365986 
    21.751     33.728      5.199      0.225       -71540 
    17.009     30.880      4.874      0.293      -107657 
    27.777     13.866      0.412      0.333       307535 
    26.915     14.184      0.301      0.377        88108 
    26.695     13.820      0.270      0.330       -62567 
    18.265     18.239      4.337      4.340      3300086 
    18.328     29.543      0.182      4.332      -166039 
    19.137     16.715      2.865      4.345        84332 
    18.266     16.740      3.109      4.337      -203383 
    18.372     16.854      2.982      4.339      -178965 
    21.530     26.724      0.896      1.377       116743 
    26.971     26.169      0.089      1.113       164894 
    26.853     21.780      0.423      1.131       221151 
